station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;trawling_depth_non_duplicate;bottom_depth;bottom_proximity;taxon;family;species_code;species;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;percentage_c;percentage_c_delipidated;ampl_28;d15n;d15n_delipidated;percentage_n;percentage_n_delipidated;ratio_c_n_muscle;ratio_c_n_muscle_delipidated
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,44;2458,833;1124,658;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;4,9;4;1;Arg-olf 18;0,4615;7833;non;-19,85;-19,99;NA;-19,85;42,47;NA;3085;10,46;NA;13,2;NA;3,22;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,76;1661,471;1290,521;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;8,7;5,5;1;Lamp-cro 18;0,4685;7516;non;-20,01;-20,14;NA;-20,14;44,69;NA;3279;9,08;NA;13,87;NA;3,22;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,77;1661,471;1290,521;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;8,4;5,5;1;Lamp-cro 19;0,508;7917;non;-20,04;-20,17;NA;-20,17;44,54;NA;3559;10,11;NA;13,84;NA;3,22;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,83;1661,471;1290,521;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;9,3;7;1;Lamp-cro 1;0,5265;6202;non;-20,03;-20,16;NA;-20,16;46,3;NA;3808;9,49;NA;14,39;NA;3,22;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,84;1661,471;1290,521;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;9,2;7;1;Lamp-cro 10;0,49;7735;non;-19,91;-20,05;NA;-20,05;45,51;NA;3482;9,41;NA;14,14;NA;3,22;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,86;1661,471;1290,521;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;9,6;7;1;Lamp-cro 17;0,5395;6231;non;-20,06;-20,18;NA;-20,18;45,63;NA;3832;9,47;NA;14,15;NA;3,22;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,61;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12,6;18,5;1;Lamp-cro 63;0,4725;7818;non;-18,8;-18,93;NA;-18,93;46,2;NA;3450;11,32;NA;14,36;NA;3,22;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,51;2217,412;1501,017;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;13,5;21,5;1;Lamp-cro 58;0,546;6560;non;-19,21;-19,34;NA;-19,34;45,99;NA;3960;10,71;NA;14,27;NA;3,22;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,35;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;8,7;5;1;Lamp-cro 88;0,4785;10292;non;-20,04;-20,17;NA;-20,17;44,96;NA;3518;11,17;NA;13,95;NA;3,22;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,19;1116,923;109,28305;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;13,8;21,5;1;Lamp-cro 115;0,485;8158;non;-18,73;-18,86;NA;-18,86;46,58;NA;3612;10,92;NA;14,48;NA;3,22;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,67;2281,333;1284,128;Fish;Platytroctidae;sear-koe;Searsia_koefoedi;11,5;14,5;1;Ser-koeff 12;0,513;9852;non;-19,39;-19,52;NA;-19,52;39,57;NA;3367;11,85;NA;12,29;NA;3,22;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,8;2281,333;1284,128;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;62;49;1;Ser-bea 17;0,5275;11044;non;-19,91;-20,04;NA;-19,91;43,3;NA;3791;9,56;NA;13,43;NA;3,22;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,7;2458,833;1124,658;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;50,9;24;1;Ser-bea 2;0,486;7638;non;-20,33;-20,46;NA;-20,33;42,81;NA;3275;8,91;NA;13,28;NA;3,22;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,71;2458,833;1124,658;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;51;25,5;1;Ser-bea 10;0,505;7863;non;-20,22;-20,35;NA;-20,22;40,57;NA;3235;9,52;NA;12,6;NA;3,22;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,78;2458,833;1124,658;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;53;78,5;1;Ser-bea 6;0,533;7629;non;-19,69;-19,82;NA;-19,69;40,28;NA;3381;9,68;NA;12,49;NA;3,22;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,63;2180,4;1625,32;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;8,1;3,5;1;Xeno-cop 60;0,5135;8032;non;-20,13;-20,26;NA;-20,26;38,77;NA;3139;10,24;NA;12,02;NA;3,22;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,71;2180,4;1625,32;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;12,9;15,5;1;Xeno-cop 53;0,519;7982;non;-20,3;-20,43;NA;-20,43;42,68;NA;3536;9,62;NA;13,25;NA;3,22;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,62;2217,412;1501,017;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;11;9;1;Xeno- cop 34;0,5125;7710;non;-20,25;-20,39;NA;-20,39;41,31;NA;3267;10,08;NA;12,84;NA;3,22;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,83;2458,833;1124,658;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;9,9;4,7;1;Xeno-cop 88;0,4885;9269;non;-19,99;-20,12;NA;-20,12;41,95;NA;4391;10,19;NA;13,04;NA;3,22;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,61;1661,471;1290,521;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;4,1;2,5;1;Arg-olf 8;0,536;8035;non;-19,84;-19,96;NA;-19,84;42,77;NA;3550;10,02;NA;13,23;NA;3,23;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,32;2180,4;1625,32;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;4,8;3,5;1;Arg-olf 24;0,5205;8033;non;-19,74;-19,87;NA;-19,74;42,85;NA;3553;10,19;NA;13,28;NA;3,23;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,47;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;9,5;7;1;Lamp-cro 79;0,492;8035;non;-19,78;-19,9;NA;-19,9;45,65;NA;3618;10,9;NA;14,13;NA;3,23;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,48;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;10,2;8;1;Lamp-cro 66;0,483;7865;non;-19,67;-19,8;NA;-19,8;45,43;NA;3474;11,25;NA;14,07;NA;3,23;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,54;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;10,2;9;1;Lamp-cro 72;0,4665;7662;non;-19,71;-19,84;NA;-19,84;45,72;NA;3366;10,35;NA;14,16;NA;3,23;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,37;2217,412;1501,017;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;11,8;14;1;Lamp-cro 52;0,5195;6338;non;-19,5;-19,62;NA;-19,62;46,41;NA;3789;10,49;NA;14,35;NA;3,23;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,43;2217,412;1501,017;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12;15;1;Lamp-cro 60;0,502;8296;non;-19,15;-19,27;NA;-19,27;46,41;NA;3653;10,55;NA;14,35;NA;3,23;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,59;2458,833;1124,658;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12,8;18;1;Lamp-cro 25;0,5175;8284;non;-18,88;-19;NA;-19;44,91;NA;3627;10,31;NA;13,89;NA;3,23;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,64;2458,833;1124,658;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;13,4;20,5;1;Lamp-cro 22;0,473;7594;non;-19,1;-19,22;NA;-19,22;44,9;NA;3320;10,95;NA;13,9;NA;3,23;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,52;2217,412;1501,017;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;48;16;1;Ser-bea 15;0,4945;7825;non;-20,16;-20,28;NA;-20,16;40,11;NA;3104;9,21;NA;12,41;NA;3,23;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,73;2458,833;1124,658;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;51,5;29;1;Ser-bea 4;0,47;7723;non;-20,12;-20,24;NA;-20,12;41,21;NA;3039;8,84;NA;12,75;NA;3,23;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,75;2458,833;1124,658;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;64,5;62,5;1;Ser-bea 8;0,5515;8284;non;-19,52;-19,64;NA;-19,52;42,29;NA;3660;10,36;NA;13,1;NA;3,23;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,76;2458,833;1124,658;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;67,2;68,5;1;Ser-bea 3;0,4605;7661;non;-19,91;-20,03;NA;-19,91;41,83;NA;3019;9,43;NA;12,94;NA;3,23;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,79;2458,833;1124,658;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;65,9;83,5;1;Ser-bea 1;0,5245;7770;non;-19,53;-19,66;NA;-19,53;41,63;NA;3440;9,42;NA;12,9;NA;3,23;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,9;1661,471;1290,521;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;9,6;8,5;1;Xeno-cop 15;0,51;7338;non;-20,41;-20,54;NA;-20,54;41,76;NA;3268;8,7;NA;12,94;NA;3,23;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,7;2217,412;1501,017;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;13,1;19,5;1;Xeno- cop 23;0,4905;7834;non;-20,04;-20,16;NA;-20,16;40,12;NA;3069;10,02;NA;12,4;NA;3,23;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,34;2180,4;1625,32;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;5;3,5;1;Arg-olf 29;0,456;7984;non;-20,01;-20,12;NA;-20,01;43,35;NA;3131;10,52;NA;13,39;NA;3,24;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,02;2281,333;1284,128;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;5,6;5;1;Arg-olf 33;0,4525;11594;non;-19,28;-19,4;NA;-19,28;52,15;NA;3920;10,01;NA;16,1;NA;3,24;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,75;1661,471;1290,521;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;8,5;5,5;1;Lamp-cro 16;0,5155;8142;non;-19,96;-20,08;NA;-20,08;45,52;NA;3658;9,17;NA;14,07;NA;3,24;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,43;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;8,5;4;1;Lamp-cro 73;0,4895;7755;non;-19,96;-20,07;NA;-20,07;44,21;NA;3478;10,33;NA;13,65;NA;3,24;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,44;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;8,6;5;1;Lamp-cro 74;0,4835;7846;non;-19,85;-19,96;NA;-19,96;45,39;NA;3512;9,45;NA;13,99;NA;3,24;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,46;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;8,7;5,5;1;Lamp-cro 80;0,5105;8240;non;-19,82;-19,93;NA;-19,93;45,13;NA;3701;11,03;NA;13,93;NA;3,24;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,51;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;10;8,5;1;Lamp-cro 64;0,519;8596;non;-19,88;-19,99;NA;-19,99;46,22;NA;3785;10,76;NA;14,27;NA;3,24;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,6;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12,2;16;1;Lamp-cro 76;0,4695;7763;non;-18,97;-19,08;NA;-19,08;46,13;NA;3469;11,48;NA;14,22;NA;3,24;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,35;2217,412;1501,017;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;11,4;12;1;Lamp-cro 55;0,506;7845;non;-19,29;-19,4;NA;-19,4;43,45;NA;3445;10,97;NA;13,4;NA;3,24;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,44;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12;15;1;Lamp-cro 97;0,5235;6045;non;-18,87;-18,99;NA;-18,99;46,37;NA;3666;11,18;NA;14,33;NA;3,24;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,47;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;13;19;1;Lamp-cro 99;0,455;7267;non;-18,95;-19,06;NA;-19,06;47,02;NA;3200;10,42;NA;14,51;NA;3,24;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,07;1116,923;109,28305;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;11,4;12,5;1;Lamp-cro 114;0,4895;8025;non;-19,35;-19,46;NA;-19,46;45,31;NA;3517;10,89;NA;14;NA;3,24;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,18;1116,923;109,28305;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;13,2;21,5;1;Lamp-cro 110;0,5145;8502;non;-18,91;-19,03;NA;-19,03;45,66;NA;3739;11,32;NA;14,11;NA;3,24;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,22;1116,923;109,28305;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;14,5;25,5;1;Lamp-cro 105;0,538;6509;non;-18,97;-19,08;NA;-19,08;45,66;NA;3921;11,51;NA;14,1;NA;3,24;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,62;2458,833;1124,658;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;14,5;18;1;Lamp-cro 32;0,466;8439;non;-18,77;-18,88;NA;-18,88;50,98;NA;3711;10,97;NA;15,71;NA;3,24;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,63;2458,833;1124,658;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;13;18;1;Lamp-cro 35;0,537;6438;non;-18,95;-19,06;NA;-19,06;45,88;NA;3847;11,01;NA;14,16;NA;3,24;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,5;2281,333;1284,128;Fish;Platytroctidae;maul-arg;Maulisia_argipalla;7,5;3,5;1;Mau-arg 8;0,5485;11038;non;-19,52;-19,63;NA;-19,52;41,68;NA;3755;11,78;NA;12,88;NA;3,24;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,71;2281,333;1284,128;Fish;Platytroctidae;sear-koe;Searsia_koefoedi;12,4;20;1;Ser-koeff 9;0,5045;9589;non;-19,33;-19,44;NA;-19,44;39,14;NA;5110;12,03;NA;12,07;NA;3,24;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,79;2281,333;1284,128;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;55,4;32;1;Ser-bea 18;0,4705;9682;non;-20,17;-20,29;NA;-20,17;41,93;NA;5162;8,88;NA;12,96;NA;3,24;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,77;2458,833;1124,658;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;66;70,5;1;Ser-bea 9;0,5495;8349;non;-19,77;-19,88;NA;-19,77;42,71;NA;3684;10,14;NA;13,19;NA;3,24;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;371,06;1661,471;1290,521;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;14,5;25,5;1;Xeno-cop 6;0,4605;7339;non;-20,15;-20,26;NA;-20,26;41,34;NA;2904;9,78;NA;12,76;NA;3,24;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,64;2180,4;1625,32;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;9,4;5;1;Xeno-cop 59;0,471;7640;non;-20,2;-20,32;NA;-20,32;40,18;NA;2975;10,85;NA;12,41;NA;3,24;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,7;2180,4;1625,32;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;12,4;15;1;Xeno-cop 55;0,5055;7666;non;-20,24;-20,35;NA;-20,35;41,91;NA;3296;10,81;NA;12,93;NA;3,24;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,56;2217,412;1501,017;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;9;5;1;Xeno- cop 42;0,542;7714;non;-20,34;-20,45;NA;-20,45;40,59;NA;3396;9,45;NA;12,54;NA;3,24;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,63;2217,412;1501,017;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;10,9;9;1;Xeno- cop 35;0,503;7541;non;-20,27;-20,38;NA;-20,38;41,18;NA;3229;9,73;NA;12,71;NA;3,24;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,48;1116,923;109,28305;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;9,2;5,5;1;Xeno-cop 68;0,536;7693;non;-20,12;-20,23;NA;-20,23;40,57;NA;3362;10,4;NA;12,51;NA;3,24;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,49;1116,923;109,28305;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;9,3;5,5;1;Xeno-cop 77;0,5045;8035;non;-20,13;-20,25;NA;-20,25;40,08;NA;3142;10,52;NA;12,39;NA;3,24;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,31;2180,4;1625,32;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;4,7;3;1;Arg-olf 25;0,496;7810;non;-20,05;-20,16;NA;-20,05;43,77;NA;3445;10,01;NA;13,48;NA;3,25;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,37;2180,4;1625,32;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;6;5;1;Arg-olf 26;0,5475;6572;non;-20,09;-20,19;NA;-20,09;45,33;NA;3904;9,25;NA;13,94;NA;3,25;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,4;2180,4;1625,32;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;8,7;14,5;1;Arg-Olf 20;0,515;8388;non;-19,64;-19,74;NA;-19,64;45,22;NA;3698;10,79;NA;13,91;NA;3,25;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,45;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;8,9;5,5;1;Lamp-cro 78;0,4985;8103;non;-19,97;-20,08;NA;-20,08;45,43;NA;3615;10,16;NA;13,98;NA;3,25;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,39;2217,412;1501,017;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;11,6;14;1;Lamp-cro 57;0,4985;8335;non;-19,51;-19,62;NA;-19,62;46,86;NA;3659;11,23;NA;14,43;NA;3,25;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,42;2217,412;1501,017;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12,4;15;1;Lamp-cro 51;0,507;8338;non;-19,2;-19,3;NA;-19,3;46,09;NA;3640;10,76;NA;14,19;NA;3,25;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,45;2217,412;1501,017;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12,6;16;1;Lamp-cro 45;0,551;6500;non;-19,08;-19,18;NA;-19,18;44,98;NA;3874;10,11;NA;13,82;NA;3,25;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,31;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;7,3;3;1;Lamp-cro 85;0,494;10577;non;-19,85;-19,95;NA;-19,95;44,41;NA;3582;10,1;NA;13,66;NA;3,25;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,32;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;7,8;3,5;1;Lamp-cro 82;0,4785;10311;non;-20,21;-20,31;NA;-20,31;44,91;NA;3507;10,25;NA;13,81;NA;3,25;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,37;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;8,9;6;1;Lamp-cro 86;0,4865;10532;non;-20,18;-20,28;NA;-20,28;44,66;NA;3532;10,18;NA;13,75;NA;3,25;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,45;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12,2;15,5;1;Lamp-cro 98;0,5045;7967;non;-19,14;-19,25;NA;-19,25;46,44;NA;3506;10,87;NA;14,3;NA;3,25;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,12;1116,923;109,28305;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12;15,5;1;Lamp-cro 118;0,54;6596;non;-19,63;-19,73;NA;-19,73;45,98;NA;3928;10,34;NA;14,14;NA;3,25;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,16;1116,923;109,28305;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;13,2;19,5;1;Lamp-cro 109;0,4995;8361;non;-18,87;-18,97;NA;-18,97;46,35;NA;3658;11,64;NA;14,24;NA;3,25;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,51;2458,833;1124,658;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;10,6;10;1;Lamp-cro 39;0,527;8457;non;-19,83;-19,93;NA;-19,93;45,21;NA;3714;9,26;NA;13,9;NA;3,25;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,6;2458,833;1124,658;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;13;18;1;Lamp-cro 26;0,4605;7780;non;-18,93;-19,03;NA;-19,03;45,63;NA;3256;11,57;NA;14,04;NA;3,25;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,67;2458,833;1124,658;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;14,6;23,5;1;Lamp-cro 33;0,519;8205;non;-18,83;-18,93;NA;-18,93;44,43;NA;3593;10,73;NA;13,66;NA;3,25;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,54;2217,412;1501,017;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;53,3;22;1;Ser-bea 14;0,548;7892;non;-20,16;-20,27;NA;-20,16;41,04;NA;3506;8,66;NA;12,64;NA;3,25;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,74;2458,833;1124,658;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;63,4;54,5;1;Ser-bea 5;0,53;7950;non;-20,04;-20,14;NA;-20,04;42,19;NA;3475;10,44;NA;12,97;NA;3,25;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,64;2217,412;1501,017;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;11,2;9,5;1;Xeno- cop 30;0,5195;7604;non;-20,25;-20,35;NA;-20,35;40,18;NA;3223;8,03;NA;12,38;NA;3,25;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,69;2217,412;1501,017;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;12,5;16;1;Xeno- cop 33;0,477;7603;non;-20,13;-20,23;NA;-20,23;40,23;NA;2967;9,47;NA;12,36;NA;3,25;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,38;1661,471;1290,521;Fish;Paralepididae;arct-ris;Arctozenus_risso;15,1;5;1;Arct-ris 9;0,505;7621;non;-20,04;-20,13;NA;-20,13;43,46;NA;3357;10,38;NA;13,33;NA;3,26;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,57;1661,471;1290,521;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;3,3;1,5;1;Arg-olf 10;0,455;7352;non;-19,89;-19,98;NA;-19,89;41,46;NA;2897;9,89;NA;12,73;NA;3,26;NA
