station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;trawling_depth_non_duplicate;bottom_depth;bottom_proximity;taxon;family;species_code;species;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;percentage_c;percentage_c_delipidated;ampl_28;d15n;d15n_delipidated;percentage_n;percentage_n_delipidated;ratio_c_n_muscle;ratio_c_n_muscle_delipidated
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,73;2281,333;1284,128;Fish;Platytroctidae;sear-koe;Searsia_koefoedi;13,4;26,5;1;Ser-koeff 1;0,4615;8189;non;-19,11;-19,31;NA;-19,31;36,63;NA;4512;11,5;NA;11,62;NA;3,15;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,95;1661,471;1290,521;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;11,3;12;1;Xeno-cop 16;0,523;7394;non;-20,11;-20,31;NA;-20,31;41,07;NA;3363;8,32;NA;13,02;NA;3,15;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,36;2180,4;1625,32;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;5,8;4,5;1;Arg-olf 23;0,466;7729;non;-19,8;-19,99;NA;-19,8;44,57;NA;3367;10,14;NA;14,11;NA;3,16;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,59;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;10,5;13;1;Lamp-cro 70;0,521;8570;non;-19,54;-19,74;NA;-19,74;45,81;NA;3874;10,97;NA;14,5;NA;3,16;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,57;2281,333;1284,128;Fish;Platytroctidae;maul-arg;Maulisia_argipalla;10,5;8,5;1;Mau-arg 2;0,529;10697;non;-19,4;-19,59;NA;-19,4;41,72;NA;3731;11,97;NA;13,2;NA;3,16;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,64;2281,333;1284,128;Fish;Platytroctidae;sear-koe;Searsia_koefoedi;10,8;11,5;1;Ser-koeff 14;0,528;10327;non;-19,56;-19,75;NA;-19,75;40,88;NA;3627;10,98;NA;12,94;NA;3,16;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,78;2281,333;1284,128;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;55;31;1;Ser-bea 22;0,461;9311;non;-20,17;-20,36;NA;-20,17;41,62;NA;5093;8,89;NA;13,16;NA;3,16;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,8;2458,833;1124,658;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;8;2,8;1;Xeno-cop 96;0,452;10934;non;-20,51;-20,7;NA;-20,7;40,09;NA;3935;8,78;NA;12,7;NA;3,16;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,39;2180,4;1625,32;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;7,1;9,5;1;Arg-olf 28;0,5155;8315;non;-19,52;-19,71;NA;-19,52;44,78;NA;3740;9,99;NA;14,15;NA;3,17;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010;1116,923;109,28305;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;5,1;4,5;1;Arg-olf 39;0,5035;7716;non;-19,98;-20,16;NA;-19,98;42,42;NA;3482;9,36;NA;13,4;NA;3,17;NA
