Species_code;species
ARCT-RIS;Arctozenus risso
ARGY-OLF;Argyropelecus olfersii
BENT-GLA;Benthosema glaciale
CYCL;Cyclothone
LAMP-CRO;Lampanyctus crocodilus
LAMP-MAC;Lampanyctus macdonaldi
LEST-SPH;Lestidiops sphyrenoides
MAUL-ARG;Maulisia argipalla
MAUR-MUE;Maurolicus muelleri
MELA-ATL;Melanostigma atlanticum
MYCT-PUN;Myctophum punctatum
NOTO-BOL;Notoscopelus bolini
NOTO-KRO;Notoscopelus kroyeri
SEAR-KOE;Searsia koefoedi
SERR-BEA;Serrivomer beanii
XENO-COP;Xenodermichthys copei
