station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;bottom_depth;bottom_proximity;taxon;family;species_code;species;group;community;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;%c;%c_delipidated;ampl_28;d15n;d15n_delipidated;%n;%n_delipidated;ratio_c_n_muscle_delipidated;ratio_c_n_muscle
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 14;0,518;8147;non;-20,59;-20,47;NA;-20,47;44,29;NA;3382;9,95;NA;12,73;NA;3,480117707;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 15;0,5085;7905;non;-20,54;-20,42;NA;-20,42;43,75;NA;3255;9,37;NA;12,58;NA;3,478330341;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 16;0,526;8394;non;-20,95;-20,62;NA;-20,62;45,04;NA;3282;9,77;NA;12,22;NA;3,686451265;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 17;0,506;7837;non;-20,73;-20,54;NA;-20,54;43,63;NA;3197;9,69;NA;12,29;NA;3,55025284;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 18;0,5025;7863;non;-20,66;-20,51;NA;-20,51;40,96;NA;3009;9,43;NA;11,71;NA;3,497719812;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 19;0,525;7748;non;-20,63;-20,47;NA;-20,47;41,62;NA;3189;9,72;NA;11,85;NA;3,511251601;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 2;0,4665;7699;non;-20,84;-20,76;NA;-20,76;44,37;NA;3137;9,28;NA;12,93;NA;3,43176693;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 20;0,478;7653;non;-20,72;-20,56;NA;-20,56;43,61;NA;2998;9,67;NA;12,4;NA;3,515675169;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 3;0,499;7962;non;-20,79;-20,59;NA;-20,59;44,36;NA;3201;9,23;NA;12,48;NA;3,554936087;NA
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Sternoptychidae;Mau-mue;Maurolicus_muelleri;2;25;2,95;NA;4;Mau-mue 4;0,549;6440;non;-20,55;-20,38;NA;-20,38;44,55;NA;3616;10,84;NA;12,64;NA;3,523788273;NA
