indiv_ID;d13C;d15N;Species_code
Arg-olf 39;-20.16;9.36;Arg-olf
Arg-olf 40;-19.84;9.9;Arg-olf
Arg-olf 41;-19.49;10;Arg-olf
Lamp-cro 101;-19.34;10.93;Lamp-cro
Lamp-cro 102;-19.36;10.61;Lamp-cro
Lamp-cro 103;-19.6;10.78;Lamp-cro
Lamp-cro 104;-19.77;10.45;Lamp-cro
Lamp-cro 105;-19.08;11.51;Lamp-cro
Lamp-cro 106;-18.93;11.56;Lamp-cro
Lamp-cro 107;-19.64;10.21;Lamp-cro
Lamp-cro 108;-19.06;10.49;Lamp-cro
Lamp-cro 109;-18.97;11.64;Lamp-cro
Lamp-cro 110;-19.03;11.32;Lamp-cro
Lamp-cro 111;-19.41;10.99;Lamp-cro
Lamp-cro 112;-19.38;10.8;Lamp-cro
Lamp-cro 113;-19.41;10.1;Lamp-cro
Lamp-cro 114;-19.46;10.89;Lamp-cro
Lamp-cro 115;-18.86;10.92;Lamp-cro
Lamp-cro 116;-19.88;10.05;Lamp-cro
Lamp-cro 117;-19.12;10.72;Lamp-cro
Lamp-cro 118;-19.73;10.34;Lamp-cro
Lamp-cro 119;-19.66;10.71;Lamp-cro
Lamp-cro 120;-19.11;11.47;Lamp-cro
Mel-atlan 1;-19.73;12.18;Mel-atlan
Mel-atlan 10;-19.59;10.97;Mel-atlan
Mel-atlan 11;-19.67;10.79;Mel-atlan
Mel-atlan 12;-19.77;12.35;Mel-atlan
Mel-atlan 13;-19.43;11.31;Mel-atlan
Mel-atlan 14;-19.42;11.16;Mel-atlan
Mel-atlan 15;-19.57;10.39;Mel-atlan
Mel-atlan 16;-19.55;11.02;Mel-atlan
Mel-atlan 17;-19.74;11.24;Mel-atlan
Mel-atlan 18;-19.35;11.2;Mel-atlan
Mel-atlan 19;-19.72;11.31;Mel-atlan
Mel-atlan 2;-19.84;10.84;Mel-atlan
Mel-atlan 20;-19.59;11.15;Mel-atlan
Mel-atlan 3;-19.8;11.68;Mel-atlan
Mel-atlan 4;-19.78;11.53;Mel-atlan
Mel-atlan 5;-20.04;11.17;Mel-atlan
Mel-atlan 6;-20.02;11.84;Mel-atlan
Mel-atlan 7;-20;11.05;Mel-atlan
Mel-atlan 8;-19.63;11.34;Mel-atlan
Mel-atlan 9;-19.55;11.1;Mel-atlan
Ser-bea 23;-19.43;9.42;Ser-bea
Ser-bea 24;-20.05;8.89;Ser-bea
Ser-bea 25;-20.04;9.26;Ser-bea
Ser-bea 26;-20.09;10.16;Ser-bea
Xeno-cop 63;-19.97;10.21;Xeno-cop
Xeno-cop 64;-20.49;9.71;Xeno-cop
Xeno-cop 65;-20.43;9.88;Xeno-cop
Xeno-cop 66;-20.24;10.85;Xeno-cop
Xeno-cop 67;-20.09;9.74;Xeno-cop
Xeno-cop 68;-20.23;10.4;Xeno-cop
Xeno-cop 69;-20.29;10.27;Xeno-cop
Xeno-cop 70;-20.58;9.11;Xeno-cop
Xeno-cop 71;-20.27;10.14;Xeno-cop
Xeno-cop 72;-20;10.17;Xeno-cop
Xeno-cop 73;-20.14;10.34;Xeno-cop
Xeno-cop 74;-20.17;10.43;Xeno-cop
Xeno-cop 75;-20.3;10.27;Xeno-cop
Xeno-cop 76;-20.39;10.95;Xeno-cop
Xeno-cop 77;-20.25;10.52;Xeno-cop
Xeno-cop 78;-20.47;10.51;Xeno-cop
Xeno-cop 79;-20.06;10.45;Xeno-cop
Xeno-cop 80;-20.59;10.38;Xeno-cop
Xeno-cop 81;-20.01;9.95;Xeno-cop
Xeno-cop 82;-20.6;10.64;Xeno-cop
