indiv_ID;d13C;d15N;Species_code
Arct-ris 21;-19.46;10.99;Arct-ris
Arct-ris 22;-19.81;10.32;Arct-ris
Arct-ris 23;-19.89;10.48;Arct-ris
Arct-ris 24;-19.69;10.07;Arct-ris
Arct-ris 25;-20.11;10.06;Arct-ris
Arct-ris 26;-20.07;10.35;Arct-ris
Arct-ris 27;-20.24;10.28;Arct-ris
Arct-ris 28;-19.46;10.18;Arct-ris
Arct-ris 29;-20.28;10.41;Arct-ris
Arct-ris 30;-19.98;10.44;Arct-ris
Arct-ris 31;-19.87;10.26;Arct-ris
Arct-ris 32;-19.88;10.9;Arct-ris
Cyclo 1;-19.55;11.23;Cyclo
Cyclo 10;-19.55;11.36;Cyclo
Cyclo 11;-19.96;10.07;Cyclo
Cyclo 12;-19.78;10.96;Cyclo
Cyclo 13;-19.62;10.63;Cyclo
Cyclo 14;-19.42;11.27;Cyclo
Cyclo 15;-19.37;10.09;Cyclo
Cyclo 16;-19.54;11.43;Cyclo
Cyclo 17;-19.76;11.17;Cyclo
Cyclo 18;-19.36;10.86;Cyclo
Cyclo 19;-19.54;10.71;Cyclo
Cyclo 2;-19.87;11.04;Cyclo
Cyclo 20;-19.44;10.03;Cyclo
Cyclo 3;-19.7;10.69;Cyclo
Cyclo 4;-19.28;11.4;Cyclo
Cyclo 5;-19.77;10.82;Cyclo
Cyclo 6;-19.55;11.8;Cyclo
Cyclo 7;-19.49;12;Cyclo
Cyclo 8;-19.73;10.62;Cyclo
Cyclo 9;-19.71;11.44;Cyclo
Lamp-cro 41;-19.25;10.83;Lamp-cro
Lamp-cro 42;-19.38;10.9;Lamp-cro
Lamp-cro 43;-19.46;10.57;Lamp-cro
Lamp-cro 44;-19.29;10.82;Lamp-cro
Lamp-cro 45;-19.18;10.11;Lamp-cro
Lamp-cro 46;-19.25;10.13;Lamp-cro
Lamp-cro 47;-19.75;10.16;Lamp-cro
Lamp-cro 48;-19.27;11.11;Lamp-cro
Lamp-cro 49;-19.93;10.31;Lamp-cro
Lamp-cro 50;-19.91;10.28;Lamp-cro
Lamp-cro 51;-19.3;10.76;Lamp-cro
Lamp-cro 52;-19.62;10.49;Lamp-cro
Lamp-cro 53;-19.39;10.93;Lamp-cro
Lamp-cro 54;-20.07;10.45;Lamp-cro
Lamp-cro 55;-19.4;10.97;Lamp-cro
Lamp-cro 56;-19.77;10.71;Lamp-cro
Lamp-cro 57;-19.62;11.23;Lamp-cro
Lamp-cro 58;-19.34;10.71;Lamp-cro
Lamp-cro 59;-19.59;11;Lamp-cro
Lamp-cro 60;-19.27;10.55;Lamp-cro
Ser-bea 13;-19.84;10.04;Ser-bea
Ser-bea 14;-20.27;8.66;Ser-bea
Ser-bea 15;-20.28;9.21;Ser-bea
Ser-bea 16;-20.14;9.21;Ser-bea
Xeno- cop 23;-20.16;10.02;Xeno-cop
Xeno- cop 24;-20.05;9.8;Xeno-cop
Xeno- cop 25;-20.23;9.76;Xeno-cop
Xeno- cop 26;-20.79;9.24;Xeno-cop
Xeno- cop 27;-20.53;9.44;Xeno-cop
Xeno- cop 28;-20.51;9.86;Xeno-cop
Xeno- cop 29;-20.19;8.89;Xeno-cop
Xeno- cop 30;-20.35;8.03;Xeno-cop
Xeno- cop 31;-19.95;9.91;Xeno-cop
Xeno- cop 32;-20.16;9.51;Xeno-cop
Xeno- cop 33;-20.23;9.47;Xeno-cop
Xeno- cop 34;-20.39;10.08;Xeno-cop
Xeno- cop 35;-20.38;9.73;Xeno-cop
Xeno- cop 36;-19.87;8.82;Xeno-cop
Xeno- cop 37;-20.55;9.99;Xeno-cop
Xeno- cop 38;-20.33;10.45;Xeno-cop
Xeno- cop 39;-20.81;9.67;Xeno-cop
Xeno- cop 40;-20.2;10.55;Xeno-cop
Xeno- cop 41;-20.28;10.4;Xeno-cop
Xeno- cop 42;-20.45;9.45;Xeno-cop
