Species_name;Species_code;rel_Biomass;Order;Status
Arctozenus_risso;Arct-ris;4.90088105726872;Paralepididae;C
Argyropelecus_olfersii;Arg-olf;4.29515418502203;Sternoptychidae;C
Lampanyctus_crocodilus;Lamp-cro;19.4383259911894;Myctophidae;C
Notoscopelus_kroyeri;Noto-kro;9.08590308370044;Myctophidae;C
Xenodermichthys_copei;Xeno-cop;62.2797356828194;Alepocephalidae;C
