Species_name;Species_code;rel_Biomass;Order;Status
Argyropelecus_olfersii;Arg-olf;3.74301675977654;Sternoptychidae;E
Benthosema_glaciale;Ben-gla;3.57541899441341;Myctophidae;E
Lampanyctus_crocodilus;Lamp-cro;56.7597765363128;Myctophidae;E
Maulisia_argipalla;Mau-arg;7.93296089385475;Platytroctidae;E
Searsia_koefoedi;Ser-koeff;16.4804469273743;Platytroctidae;E
Serrivomer_beanii;Ser-bea;11.5083798882682;Serrivomeridae;E
