indiv_ID;d13C;d15N;Species_code
Lesti-sphy 1;-20.32;10.35;Lesti-sphy
Lesti-sphy 10;-19.64;11.15;Lesti-sphy
Lesti-sphy 11;-19.83;11.48;Lesti-sphy
Lesti-sphy 12;-20.14;10.43;Lesti-sphy
Lesti-sphy 2;-20;10.69;Lesti-sphy
Lesti-sphy 3;-19.8;10.95;Lesti-sphy
Lesti-sphy 4;-20.11;10.58;Lesti-sphy
Lesti-sphy 5;-20.14;10.44;Lesti-sphy
Lesti-sphy 6;-20.12;10.46;Lesti-sphy
Lesti-sphy 7;-20.06;10.65;Lesti-sphy
Lesti-sphy 8;-19.98;10.47;Lesti-sphy
Lesti-sphy 9;-20.05;11;Lesti-sphy
Mau-mue 1;-20.53;9.32;Mau-mue
Mau-mue 10;-20.49;10.23;Mau-mue
Mau-mue 11;-20.41;9.96;Mau-mue
Mau-mue 12;-20.39;10.25;Mau-mue
Mau-mue 13;-20.45;10.83;Mau-mue
Mau-mue 14;-20.47;9.95;Mau-mue
Mau-mue 15;-20.42;9.37;Mau-mue
Mau-mue 16;-20.62;9.77;Mau-mue
Mau-mue 17;-20.54;9.69;Mau-mue
Mau-mue 18;-20.51;9.43;Mau-mue
Mau-mue 19;-20.47;9.72;Mau-mue
Mau-mue 2;-20.76;9.28;Mau-mue
Mau-mue 20;-20.56;9.67;Mau-mue
Mau-mue 3;-20.59;9.23;Mau-mue
Mau-mue 4;-20.38;10.84;Mau-mue
Mau-mue 5;-20.64;9.64;Mau-mue
Mau-mue 6;-20.73;9.38;Mau-mue
Mau-mue 7;-20.56;10.64;Mau-mue
Mau-mue 8;-20.65;9.66;Mau-mue
Mau-mue 9;-20.49;10.51;Mau-mue
Myct-pun 38;-20.46;10.11269662;Myct-pun
Myct-pun 39;-19.97;9.603286721;Myct-pun
Myct-pun 40;-19.79;9.676345508;Myct-pun
Myct-pun 41;-20.4;9.953568576;Myct-pun
Myct-pun 42;-19.98;10.63511699;Myct-pun
Myct-pun 43;-20.1;9.45016351;Myct-pun
Myct-pun 44;-20.24;9.793439728;Myct-pun
Myct-pun 45;-20.04;9.369098281;Myct-pun
Myct-pun 46;-20.21;9.820461471;Myct-pun
Myct-pun 47;-20.4;9.291035467;Myct-pun
Myct-pun 48;-20.29;9.234990371;Myct-pun
Myct-pun 49;-20.08;10.59308316;Myct-pun
Myct-pun 50;-19.78;9.94;Myct-pun
Myct-pun 51;-20.27;10.1;Myct-pun
Myct-pun 52;-19.9;9.93;Myct-pun
Myct-pun 53;-20.26;10.02;Myct-pun
Myct-pun 54;-20.18;9.83;Myct-pun
Myct-pun 55;-20.29;10.08;Myct-pun
Myct-pun 56;-20.27;9.2;Myct-pun
Myct-pun 57;-20.3;9.89;Myct-pun
Noto-bol 1;-20.3;10.89;Noto-bol
Noto-bol 10;-19.56;11.27;Noto-bol
Noto-bol 11;-19.82;11.05;Noto-bol
Noto-bol 12;-19.74;11.05;Noto-bol
Noto-bol 13;-19.78;11.44;Noto-bol
Noto-bol 14;-19.79;10.76;Noto-bol
Noto-bol 15;-20.12;11.68;Noto-bol
Noto-bol 16;-20.07;10.93;Noto-bol
Noto-bol 17;-20.04;11.04;Noto-bol
Noto-bol 18;-19.7;11.38;Noto-bol
Noto-bol 19;-19.74;11.83;Noto-bol
Noto-bol 2;-19.88;10.73;Noto-bol
Noto-bol 20;-19.78;11.24;Noto-bol
Noto-bol 3;-19.84;10.73;Noto-bol
Noto-bol 4;-19.91;10.84;Noto-bol
Noto-bol 5;-19.76;10.98;Noto-bol
Noto-bol 6;-19.71;10.93;Noto-bol
Noto-bol 7;-19.6;11.15;Noto-bol
Noto-bol 8;-19.66;11.41;Noto-bol
Noto-bol 9;-19.84;11.18;Noto-bol
Noto-kro 41;-19.42;11.08848179;Noto-kro
Noto-kro 42;-19.93;11.30765815;Noto-kro
Noto-kro 43;-19.78;11.18656071;Noto-kro
Noto-kro 44;-20.08;10.89332475;Noto-kro
Noto-kro 45;-19.66;11.2996517;Noto-kro
Noto-kro 46;-19.96;11.32667345;Noto-kro
Noto-kro 47;-19.83;11.35069277;Noto-kro
Noto-kro 48;-20.45;10.59508477;Noto-kro
Noto-kro 49;-19.91;11.21758567;Noto-kro
Noto-kro 50;-19.94;11.20557601;Noto-kro
Noto-kro 51;-20.34;10.95337307;Noto-kro
Noto-kro 52;-19.95;11.20157279;Noto-kro
Noto-kro 53;-19.79;11.02342944;Noto-kro
Noto-kro 54;-19.91;11.14953091;Noto-kro
Noto-kro 55;-19.74;11.19456715;Noto-kro
Noto-kro 56;-19.89;11.431758;Noto-kro
Noto-kro 57;-19.94;10.76722328;Noto-kro
Noto-kro 58;-19.53;11.13351802;Noto-kro
Noto-kro 59;-19.66;11.4507733;Noto-kro
Noto-kro 60;-19.68;11.63992551;Noto-kro
