indiv_ID;d13C;d15N;Species_code
Arg-olf 12;-19.43;10.5;Arg-olf
Arg-olf 13;-19.68;10.64;Arg-olf
Arg-olf 14;-19.67;10.66;Arg-olf
Arg-olf 15;-19.78;10.8;Arg-olf
Arg-olf 16;-19.86;10.67;Arg-olf
Arg-olf 17;-19.64;10.52;Arg-olf
Arg-olf 18;-19.99;10.46;Arg-olf
Arg-olf 19;-20.02;10.61;Arg-olf
Lamp-cro 21;-19.5;9.56;Lamp-cro
Lamp-cro 22;-19.22;10.95;Lamp-cro
Lamp-cro 23;-19.28;10.1;Lamp-cro
Lamp-cro 24;-19.41;10.58;Lamp-cro
Lamp-cro 25;-19;10.31;Lamp-cro
Lamp-cro 26;-19.03;11.57;Lamp-cro
Lamp-cro 27;-18.8;11.26;Lamp-cro
Lamp-cro 28;-19.35;10.55;Lamp-cro
Lamp-cro 29;-19.41;10.39;Lamp-cro
Lamp-cro 30;-19.3;10.91;Lamp-cro
Lamp-cro 31;-19.04;9.99;Lamp-cro
Lamp-cro 32;-18.88;10.97;Lamp-cro
Lamp-cro 33;-18.93;10.73;Lamp-cro
Lamp-cro 34;-19.2;10.25;Lamp-cro
Lamp-cro 35;-19.06;11.01;Lamp-cro
Lamp-cro 36;-19.3;10.97;Lamp-cro
Lamp-cro 37;-19.86;10.63;Lamp-cro
Lamp-cro 38;-19.74;9.84;Lamp-cro
Lamp-cro 39;-19.93;9.26;Lamp-cro
Lamp-cro 40;-20.1;9.86;Lamp-cro
Lamp-mac 1;-19.98;11.64;Lamp-mac
Lamp-mac 10;-19.38;11.83;Lamp-mac
Lamp-mac 11;-19.29;11.63;Lamp-mac
Lamp-mac 12;-20.39;11.23;Lamp-mac
Lamp-mac 13;-19.42;11.47;Lamp-mac
Lamp-mac 14;-19.68;11.06;Lamp-mac
Lamp-mac 15;-19.86;11.82;Lamp-mac
Lamp-mac 16;-19.78;11.76;Lamp-mac
Lamp-mac 17;-19.28;11.38;Lamp-mac
Lamp-mac 18;-19.44;11.98;Lamp-mac
Lamp-mac 19;-19.31;11.73;Lamp-mac
Lamp-mac 2;-19.79;11.07;Lamp-mac
Lamp-mac 20;-20.45;11.3;Lamp-mac
Lamp-mac 3;-18.58;11.16;Lamp-mac
Lamp-mac 4;-19.94;11.13;Lamp-mac
Lamp-mac 5;-19.28;11.17;Lamp-mac
Lamp-mac 6;-19.98;11.55;Lamp-mac
Lamp-mac 7;-19.62;11.91;Lamp-mac
Lamp-mac 8;-19.88;12;Lamp-mac
Lamp-mac 9;-20;11.58;Lamp-mac
Myct-pun 18;-19.89;10.27;Myct-pun
Myct-pun 19;-19.64;9.84;Myct-pun
Myct-pun 20;-20.46;10.43;Myct-pun
Myct-pun 21;-19.24;9.52;Myct-pun
Myct-pun 22;-20.03;10.67;Myct-pun
Myct-pun 23;-20.1;10.24;Myct-pun
Myct-pun 24;-19.49;10.06;Myct-pun
Myct-pun 25;-20.34;9.43;Myct-pun
Myct-pun 26;-20.3;9.66;Myct-pun
Myct-pun 27;-19.27;9.41;Myct-pun
Myct-pun 28;-19.38;9.51;Myct-pun
Myct-pun 29;-20.53;9.27;Myct-pun
Myct-pun 30;-19.87;10;Myct-pun
Myct-pun 31;-17.55;10.07;Myct-pun
Myct-pun 32;-20.11;9.67;Myct-pun
Myct-pun 33;-20.58;10.11;Myct-pun
Myct-pun 34;-19.98;9.4;Myct-pun
Myct-pun 35;-19.85;10.12;Myct-pun
Myct-pun 36;-20.42;9.56;Myct-pun
Myct-pun 37;-20.57;9.33;Myct-pun
Ser-bea 1;-19.66;9.42;Ser-bea
Ser-bea 10;-20.35;9.52;Ser-bea
Ser-bea 11;-20.15;9.67;Ser-bea
Ser-bea 12;-20.17;8.71;Ser-bea
Ser-bea 2;-20.46;8.91;Ser-bea
Ser-bea 3;-20.03;9.43;Ser-bea
Ser-bea 4;-20.24;8.84;Ser-bea
Ser-bea 5;-20.14;10.44;Ser-bea
Ser-bea 6;-19.82;9.68;Ser-bea
Ser-bea 7;-20.29;9.6;Ser-bea
Ser-bea 8;-19.64;10.36;Ser-bea
Ser-bea 9;-19.88;10.14;Ser-bea
Xeno-cop 83;-20.19998117;10.23;Xeno-cop
Xeno-cop 84;-20.38423559;10.45;Xeno-cop
Xeno-cop 85;-20.14388971;10.36;Xeno-cop
Xeno-cop 86;-20.03416806;9.77;Xeno-cop
Xeno-cop 87;-20.27195444;9.6;Xeno-cop
Xeno-cop 88;-20.12106574;10.19;Xeno-cop
Xeno-cop 89;-20.51454397;8.83;Xeno-cop
Xeno-cop 90;-20.46234413;9.85;Xeno-cop
Xeno-cop 91;-20.33131559;9.92;Xeno-cop
Xeno-cop 92;-19.73634913;9.51;Xeno-cop
Xeno-cop 93;-20.51187663;9.93;Xeno-cop
Xeno-cop 94;-20.5579412;8.79;Xeno-cop
Xeno-cop 95;-20.00113661;10.46;Xeno-cop
Xeno-cop 96;-20.7039473;8.78;Xeno-cop
Xeno-cop 97;-20.13113356;9.81;Xeno-cop
