Species_name;Species_code;rel_Biomass;Order;Status
Arctozenus_risso;Arct-ris;6.451612903;Paralepididae;B
Argyropelecus_olfersii;Arg-olf;1.01010101;Sternoptychidae;B
Lampanyctus_crocodilus;Lamp-cro;9.677419355;Myctophidae;B
Myctophum_punctatum;Myct-pun;2.639296188;Myctophidae;B
Notoscopelus_kroyeri;Noto-kro;56.72857608;Myctophidae;B
Xenodermichthys_copei;Xeno-cop;23.49299446;Alepocephalidae;B
