indiv_ID;d13C;d15N;Species_code
Arct-ris 33;-20.03;10.33;Arct-ris
Arct-ris 34;-19.75;10.63;Arct-ris
Arct-ris 35;-19.97;10.65;Arct-ris
Arct-ris 36;-19.52;10.79;Arct-ris
Arct-ris 37;-19.44;10.49;Arct-ris
Arct-ris 38;-19.89;10.82;Arct-ris
Arct-ris 39;-20.07;11.09;Arct-ris
Arct-ris 40;-20.17;11.5;Arct-ris
Arct-ris 41;-20.05;11;Arct-ris
Arct-ris 42;-20.05;10.84;Arct-ris
Arct-ris 43;-20.19;11.62;Arct-ris
Arg-Olf 20;-19.74;10.79;Arg-olf
Arg-olf 21;-19.9;10.75;Arg-olf
Arg-olf 22;-19.91;10.02;Arg-olf
Arg-olf 23;-19.99;10.14;Arg-olf
Arg-olf 24;-19.87;10.19;Arg-olf
Arg-olf 25;-20.16;10.01;Arg-olf
Arg-olf 26;-20.19;9.25;Arg-olf
Arg-olf 27;-20.13;9.67;Arg-olf
Arg-olf 28;-19.71;9.99;Arg-olf
Arg-olf 29;-20.12;10.52;Arg-olf
Arg-olf 30;-19.91;10.53;Arg-olf
Lamp-cro 61;-19.39;11.41;Lamp-cro
Lamp-cro 62;-19.24;10.44;Lamp-cro
Lamp-cro 63;-18.93;11.32;Lamp-cro
Lamp-cro 64;-19.99;10.76;Lamp-cro
Lamp-cro 65;-19.97;10.92;Lamp-cro
Lamp-cro 66;-19.8;11.25;Lamp-cro
Lamp-cro 67;-20;11.18;Lamp-cro
Lamp-cro 68;-19.81;10.26;Lamp-cro
Lamp-cro 69;-19.81;10.84;Lamp-cro
Lamp-cro 70;-19.74;10.97;Lamp-cro
Lamp-cro 71;-20.15;10.89;Lamp-cro
Lamp-cro 72;-19.84;10.35;Lamp-cro
Lamp-cro 73;-20.07;10.33;Lamp-cro
Lamp-cro 74;-19.96;9.45;Lamp-cro
Lamp-cro 75;-19.94;9.85;Lamp-cro
Lamp-cro 76;-19.08;11.48;Lamp-cro
Lamp-cro 77;-19.78;11.22;Lamp-cro
Lamp-cro 78;-20.08;10.16;Lamp-cro
Lamp-cro 79;-19.9;10.9;Lamp-cro
Lamp-cro 80;-19.93;11.03;Lamp-cro
Noto-kro 21;-19.63;11.3298919;Noto-kro
Noto-kro 22;-19.4;11.27225929;Noto-kro
Noto-kro 23;-19.15;11.50843757;Noto-kro
Noto-kro 24;-19.14;11.51174921;Noto-kro
Noto-kro 25;-19.59;11.29867469;Noto-kro
Noto-kro 26;-19.3;11.48855058;Noto-kro
Noto-kro 27;-19.31;11.15945763;Noto-kro
Noto-kro 28;-19.46;11.0077375;Noto-kro
Noto-kro 29;-19.53;11.22980443;Noto-kro
Noto-kro 30;-19.67;11.26081812;Noto-kro
Noto-kro 31;-19.72;11.52489043;Noto-kro
Noto-kro 32;-20.05;10.91053318;Noto-kro
Noto-kro 33;-19.85;10.90433361;Noto-kro
Noto-kro 34;-19.71;10.89932958;Noto-kro
Noto-kro 35;-19.99;11.31366298;Noto-kro
Noto-kro 36;-19.93;11.20157279;Noto-kro
Noto-kro 37;-19.58;11.30165332;Noto-kro
Noto-kro 38;-19.84;10.79024181;Noto-kro
Noto-kro 39;-19.98;11.10049145;Noto-kro
Noto-kro 40;-19.81;11.20257359;Noto-kro
Xeno-cop 43;-20.06;9.11;Xeno-cop
Xeno-cop 44;-20.46;9.77;Xeno-cop
Xeno-cop 45;-20.38;10.09;Xeno-cop
Xeno-cop 46;-19.98;10.11;Xeno-cop
Xeno-cop 47;-20.24;10.42;Xeno-cop
Xeno-cop 48;-20.48;10.29;Xeno-cop
Xeno-cop 49;-19.74;9.86;Xeno-cop
Xeno-cop 50;-20.49;10.4;Xeno-cop
Xeno-cop 51;-20.22;10.39;Xeno-cop
Xeno-cop 52;-20.29;9.53;Xeno-cop
Xeno-cop 53;-20.43;9.62;Xeno-cop
Xeno-cop 54;-20.01;10.12;Xeno-cop
Xeno-cop 55;-20.35;10.81;Xeno-cop
Xeno-cop 56;-20.27;10.46;Xeno-cop
Xeno-cop 57;-20.51;10.33;Xeno-cop
Xeno-cop 58;-20.16;10.31;Xeno-cop
Xeno-cop 59;-20.32;10.85;Xeno-cop
Xeno-cop 60;-20.26;10.24;Xeno-cop
Xeno-cop 61;-20.07;9.55;Xeno-cop
Xeno-cop 62;-20.07;10.86;Xeno-cop
